Date,Open,High,Low,Close,Volume,Status
2020-01-02,36.7801,37.028,36.3535,36.9288,4046912,ok
2020-01-03,36.3734,36.5222,35.7385,36.2742,4101279,ok
2020-01-06,35.9468,36.0014,35.4608,35.7088,4136337,ok
2020-01-07,35.5799,35.808,35.3616,35.6394,3108899,ok
2020-01-08,35.8179,36.3287,35.6394,35.9072,3795986,ok
2020-01-09,35.8973,36.1154,35.5501,35.927,3811406,ok
2020-01-10,35.927,36.2742,35.6096,36.0361,3542436,ok
2020-01-13,36.3039,36.3535,36.051,36.294,3167554,ok
2020-01-14,36.3436,36.8743,36.175,36.5222,5495631,ok
2020-01-15,36.3734,36.6809,36.1552,36.4924,4365765,ok
2020-01-16,36.6015,37.033,36.5023,37.0082,5958631,ok
2020-01-17,36.0758,37.2959,35.9209,36.5023,12851772,ok
2020-01-21,36.1353,36.3436,35.1583,35.5402,6476852,ok
2020-01-22,35.8873,36.0064,35.5799,35.6394,3501610,ok
2020-01-23,35.5699,35.8278,35.0045,35.7683,3133640,ok
2020-01-24,35.8278,35.8774,34.7417,35.2327,4163942,ok
2020-01-27,34.6574,35.2624,34.3499,34.9649,6163034,ok
2020-01-28,35.1037,35.6096,34.7863,35.4807,3723686,ok
2020-01-29,35.6989,36.2444,35.5402,35.6096,3883847,ok
2020-01-30,34.4491,35.8873,34.4491,35.8477,4365633,ok
2020-01-31,35.5402,35.6989,34.4491,34.5979,4707297,ok
2020-02-03,34.9252,35.7683,34.7466,35.565,4708912,ok
2020-02-04,36.2047,36.9388,35.9667,36.6313,3614854,ok
2020-02-05,37.2463,37.3653,36.8693,37.3454,4071266,ok
2020-02-06,37.6926,37.9307,37.2463,37.5934,3126403,ok
2020-02-07,37.3554,37.6381,36.8197,37.0479,3342722,ok
2020-02-10,36.8594,36.9685,36.3932,36.6412,4827845,ok
2020-02-11,36.7999,37.643,36.79,37.5141,4432232,ok
2020-02-12,37.5934,38.0844,37.5934,38.0299,2477488,ok
2020-02-13,37.8414,38.1588,37.6827,37.9307,2270819,ok
2020-02-14,37.9208,38.2531,37.7025,38.01,2745884,ok
2020-02-18,37.9704,38.1241,37.5686,37.9803,2288047,ok
2020-02-19,38.0596,38.3463,37.8811,37.9803,1706045,ok
2020-02-20,38.0993,38.9871,37.9803,38.7044,3301448,ok
2020-02-21,38.5258,38.8631,38.139,38.5457,4124085,ok
2020-02-24,37.7422,38.0795,36.9437,37.4546,3934852,ok
2020-02-25,37.6728,37.8712,35.679,35.8675,5998205,ok
2020-02-26,36.3734,36.5321,35.5997,35.6691,4487946,ok
2020-02-27,35.0839,36.1552,34.4788,34.7367,8835246,ok
2020-02-28,33.5365,34.5582,33.2201,33.9432,8622870,ok
2020-03-02,34.0523,34.9053,33.0406,34.8954,7077862,ok
2020-03-03,34.5582,36.0956,33.9035,34.1118,6747302,ok
2020-03-04,34.697,35.3021,34.0573,35.2476,4983813,ok
2020-03-05,34.2705,35.7584,34.2011,34.5582,8820390,ok
2020-03-06,33.229,34.0126,33.0505,33.8837,7757543,ok
2020-03-09,31.6122,32.5744,30.3634,30.9377,12393027,ok
2020-03-10,31.9594,33.3481,31.0468,33.3282,7310564,ok
2020-03-11,32.2073,33.3976,32.0586,32.6636,10915878,ok
2020-03-12,30.293,32.5744,29.549,30.6203,9929308,ok
2020-03-13,32.5347,33.8738,30.9575,33.8143,9208765,ok
2020-03-16,30.2632,33.7051,29.7573,31.4634,9546481,ok
2020-03-17,32.1181,34.8458,31.7759,34.2308,8386559,ok
2020-03-18,32.4752,34.5185,31.1311,33.1794,10310247,ok
2020-03-19,33.1397,35.1732,31.7412,32.0387,9348359,ok
2020-03-20,32.0982,32.1181,28.2397,28.5075,9568549,ok
2020-03-23,29.7573,29.7573,26.4989,27.952,6272293,ok
2020-03-24,28.7952,31.2254,28.7952,31.1163,7600396,ok
2020-03-25,30.5211,31.5428,29.5689,29.9855,7079068,ok
2020-03-26,30.0747,32.2817,29.2217,32.0486,7146990,ok
2020-03-27,30.9179,31.5378,29.9458,30.7889,6463515,ok
2020-03-30,30.8286,31.9693,30.5509,31.5428,5540675,ok
2020-03-31,31.1956,32.0189,30.7096,30.9972,7565980,ok
2020-04-01,29.926,30.7492,29.678,30.3624,4805411,ok
2020-04-02,30.4814,31.0518,29.926,30.4021,7237540,ok
2020-04-03,30.2533,31.0865,29.7623,30.2335,4624725,ok
2020-04-06,31.1857,32.0486,30.8782,31.9197,6151899,ok
2020-04-07,31.7808,33.3778,31.6717,31.7511,6400300,ok
2020-04-08,32.1578,32.4057,31.3841,32.2272,4478465,ok
2020-04-09,32.4752,33.4373,32.2867,33.3481,6021537,ok
2020-04-13,32.3462,33.1497,31.6122,32.009,5085370,ok
2020-04-14,34.1515,34.8835,32.5545,34.2606,7107587,ok
2020-04-15,33.8738,34.5284,33.4472,34.2804,4962937,ok
2020-04-16,34.4987,35.2327,33.8986,35.1434,6096964,ok
2020-04-17,36.0171,36.6213,35.1037,35.6394,5018648,ok
2020-04-20,35.2624,35.6294,34.6078,34.6375,3786320,ok
2020-04-21,34.211,34.5334,33.6853,33.8638,4809711,ok
2020-04-22,34.4689,34.7764,34.1168,34.5582,3479581,ok
2020-04-23,34.4888,35.2724,34.3995,34.6375,3958192,ok
2020-04-24,34.8657,35.8477,34.5582,35.7385,3448527,ok
2020-04-27,35.8179,36.7751,35.7931,36.547,3874009,ok
2020-04-28,36.9784,37.6629,36.5073,36.661,4371013,ok
2020-04-29,36.7007,37.2363,36.1552,36.4428,4362479,ok
2020-04-30,36.175,36.4924,35.5898,35.927,5533282,ok
2020-05-01,35.5005,35.7534,35.0839,35.4112,3423257,ok
2020-05-04,35.2426,35.5898,34.8805,35.56,2930167,ok
2020-05-05,35.9766,36.8594,35.7882,36.3337,4044975,ok
2020-05-06,36.909,37.7422,36.7206,37.5438,5307837,ok
2020-05-07,37.8216,38.2977,37.4397,37.8712,4392187,ok
2020-05-08,38.1191,38.7936,38.1191,38.7341,3231128,ok
2020-05-11,38.1588,39.5574,38.1588,39.4185,3418044,ok
2020-05-12,39.4781,39.6368,38.506,38.506,3842980,ok
2020-05-13,38.3969,38.9226,37.4843,38.0299,4332617,ok
2020-05-14,37.7918,38.4316,37.4099,38.3671,4612400,ok
2020-05-15,37.9902,38.7986,37.7422,38.6052,5147271,ok
2020-05-18,39.6764,40.1327,38.625,38.754,6948559,ok
2020-05-19,38.6845,39.0218,38.2332,38.2481,4261134,ok
2020-05-20,38.7341,39.2598,38.5159,38.7738,3205113,ok
2020-05-21,38.8531,38.8531,38.2084,38.3969,3017457,ok
2020-05-22,38.3076,38.6052,38.1886,38.3671,1966975,ok
2020-05-26,38.754,39.8847,38.5655,39.3987,6224029,ok
2020-05-27,39.607,40.2319,39.0069,40.2121,5329697,ok
2020-05-28,40.3509,40.589,39.8252,40.0534,3704071,ok
2020-05-29,40.0633,41.1147,40.0137,40.9263,5958662,ok
2020-06-01,41.0453,41.0453,40.2071,40.3311,2783019,ok
2020-06-02,40.6386,40.8866,40.3162,40.8568,3863584,ok
2020-06-03,41.1445,41.9281,40.7378,41.7198,3760945,ok
2020-06-04,41.5809,42.3645,40.9957,41.3627,4377473,ok
2020-06-05,41.7198,42.5381,41.442,42.3149,6166455,ok
2020-06-08,42.0372,42.8406,41.809,42.5331,4388132,ok
2020-06-09,41.9678,42.7712,41.8785,42.5133,3280384,ok
2020-06-10,42.6522,42.8506,41.9926,42.1463,3439505,ok
2020-06-11,41.69,41.7495,40.2617,40.3113,3806295,ok
